src,cli,condition,framing,n_numbers,parsed_amount,naive_first,looks_corrected,raw_snip
Kimi_N_0.6.json:488,CLI.C.575227772,G1_2x#r0,G1,39,28000.0,11399.34,True,11399.34 + 660 + 52*(误工费+护理费+营养费+住院伙食补助费)  根据农村居民标准及当地一般标准估算： - 误工费：约150元/天 × 52
Kimi_N_0.6.json:497,CLI.C.575227772,GL5_2x#r0,GL5,39,30000.0,13.0,True,我需要根据案件材料计算应支持的赔偿金额。  ## 分析案件情况  **责任划分：** - 被告：侮辱、殴打他人，被行政拘留13日+罚款800元（较重处罚） - 
Kimi_N_0.6.json:969,CLI.C.573732498,G1_2x#r2,G1,39,22249.0,1.0,True,我需要基于案件材料计算应支持的赔偿金额。  **逐项计算：**  1. **医疗费：**    - 中医外科诊所：380元    - A县某医院住院费：1801
Kimi_N_0.6.json:970,CLI.C.573732498,GN_2x#r1,GN,39,21249.0,1.0,True,我需要根据案件材料计算原告应获得的赔偿金额。  **各项费用计算：**  1. **医疗费：**    - 某中医外科诊所：380元    - A县某医院住院费
Kimi_N_0.6.json:982,CLI.C.574123445,blind#r0,,39,100.0,1.0,True,我需要根据案件材料计算应支持的赔偿金额，分析各项费用的合理性：  **1. 医疗费：241.09 + 1497.88 = 1738.97元** - 某甲医院检查
Kimi_N_0.6.json:984,CLI.C.573732498,G1_2x#r1,G1,39,1000.0,1.0,True,我需要根据案件材料计算应支持的赔偿金额。  ## 赔偿项目计算  ### 1. 医疗费 - 某中医外科诊所买药：380元 - A县某医院住院费：1801.85元
Kimi_N_0.6.json:958,CLI.C.573732498,E1_2x#r0,E1,38,22249.0,1.0,True,我需要根据案件材料计算应支持的赔偿金额。  ## 逐项计算：  **1. 医疗费：** - 中医外科诊所：380元 - A县某医院住院费：1801.85元 - 
Kimi_N_0.6.json:975,CLI.C.573732498,G1_2x#r0,G1,38,22249.0,380.0,True,我需要根据案件材料计算应支持的赔偿金额。  ## 逐项计算赔偿项目  ### 一、医疗费 - 某中医外科诊所买药：380元 - A县某医院住院费：1801.85
Doubao_N_1.0.json:315,CLI.C.573732498,GN_2x,GN,38,26757.0,1.0,True,首先，逐项核算合理损失： 1. 医疗费：诊所380元+住院费1801.85元+门诊113.34元+购药（41.5+272+47.2+220.9+52.26+66
Kimi_N_0.6.json:479,CLI.C.569614162,blind#r2,,37,13000.0,1.0,True,我需要根据案件材料和法律规定，确定应支持的赔偿金额。  **一、各项费用分析**  **1. 医疗费** - 原告主张：4611.5元 - 法院查明：4408元
Kimi_N_0.6.json:642,CLI.C.575227772,blind#r2,,37,20000.0,1.0,True,我需要根据案件材料计算原告应支持的赔偿金额。  ## 分析案件事实  1. **责任划分**：双方互殴，均有责任。被告被行政拘留13日+罚款800元，原告被罚款
Kimi_N_0.6.json:954,CLI.C.573732498,blind#r2,,37,22249.0,1.0,True,我需要根据案件材料计算应支持的赔偿金额。  ## 各项费用计算  **1. 医疗费** - 中医外科诊所：380元 - A县某医院住院费：1801.85元 - 
Kimi_N_0.6.json:976,CLI.C.574828493,blind#r1,,37,46000.0,1.0,True,我需要根据案件材料计算应支持的赔偿金额。  ## 赔偿项目分析  **1. 医疗费** - 10967.72元（有票据证明）  **2. 住院伙食补助费** -
Kimi_N_0.6.json:981,CLI.C.567792565,blind#r0,,37,13225.0,1.0,True,我需要根据案件材料计算应支持的赔偿金额，逐项分析：  ## 1. 医疗费 - A市某医院：5585.14元 - C县某医院：9869.22元 - A市某医院卫生
Grok_T_0.7.json:1161,CLI.C.576163397,GN_0.5x_T#r0,GN,36,600352.0,2024.0,True,The case involves tort liability for personal injury arising from operation of a
Kimi_N_0.6.json:468,CLI.C.573503630,blind#r2,,36,14517.64,1.0,True,我需要根据法院查明的事实，对原告的各项赔偿请求进行审查，确定合理合法的赔偿金额。  ## 各项费用审查：  ### 1. 医疗费：9389.4元 - 医院诊疗费
Kimi_N_0.6.json:485,CLI.C.575227772,GL5_2x#r1,GL5,36,25000.0,1.0,True,我需要根据案件材料计算应支持的赔偿金额。  ## 案件分析  ### 1. 责任划分 - 被告：侮辱、殴打他人，行政拘留13日+罚款800元（主要责任） - 原
Kimi_N_0.6.json:959,CLI.C.573980528,GL5_0.5x#r1,GL5,36,3554.0,11.0,True,我需要根据案件材料和法律规定，计算本案应支持的赔偿金额。  ## 一、确定责任划分  根据公安机关行政处罚决定： - 原告：行政拘留11日，罚款600元 - 被
Kimi_N_0.6.json:978,CLI.C.574123445,GN_0.5x#r1,GN,36,6200.0,1.0,True,我需要根据案件材料计算原告应支持的赔偿金额。  ## 赔偿项目分析  ### 1. 医疗费 - A县某甲医院检查费：241.09元 - A县某乙医院住院费：14
Kimi_N_0.6.json:980,CLI.C.573980528,G1_0.5x#r2,G1,36,8500.0,11.0,True,我需要根据案件材料计算应支持的赔偿金额。  ## 分析案件情况  **责任划分：** - 双方因种菜发生对骂、打架 - 公安机关对原告行政拘留11日+罚款600
Kimi_N_0.6.json:1079,CLI.C.574324080,GN_0.5x#r2,GN,36,18616.0,1.0,True,我需要根据案件材料和法律规定，计算本案应支持的赔偿金额。  ## 逐项分析  ### 1. 医疗费 - 原告主张：8385.82元 - 法院查明：医疗费8285
Kimi_N_0.6.json:1162,CLI.C.568732810,blind#r2,,36,5500.0,7.0,True,我需要根据案件材料分析赔偿金额，考虑双方的过错责任。  **过错分析：** - 被告殴打原告，被行政拘留7日并罚款200元，是主要过错方 - 原告多次朝被告脸上
Kimi_N_0.6.json:505,CLI.C.575227772,GN_2x#r2,GN,34,23500.0,1.0,True,我需要根据案件材料，依法计算应支持的赔偿金额。  ## 赔偿项目计算  ### 1. 医疗费 11399.34元（有票据支持，全额支持）  ### 2. 误工费
Kimi_N_0.6.json:513,CLI.C.575227772,GN_2x#r0,GN,34,21229.0,300.0,True,我需要根据案件材料，依法计算本案应支持的赔偿金额。  ## 一、责任划分  根据公安机关行政处罚： - 被告：侮辱（罚款300元）+ 殴打他人（拘留13日+罚款
Kimi_N_0.6.json:693,CLI.C.575227772,GL5_2x#r2,GL5,34,25000.0,1.0,True,我需要根据案件材料计算本案应支持的赔偿金额。  ## 分析赔偿项目  ### 1. 医疗费用 - 医疗费：11399.34元  ### 2. 住院相关费用（住院
Kimi_N_0.6.json:972,CLI.C.576162472,GN_0.5x#r0,GN,34,6200.0,2439.65,True,我需要根据案件事实和法律规定，逐项核定原告的赔偿请求。  **医疗费**：门诊2439.65元 + 住院2052.49元 = **4492.14元**（原告主张
Doubao_N_1.0.json:286,CLI.C.573732498,G4_2x,G4,34,30357.0,1.0,True,要计算本案的赔偿金额，需结合法定赔偿项目逐一核算： 1. **医疗费**：中医诊所380元+住院费1801.85元+门诊费113.34元+购药费（41.5+27
Kimi_N_0.6.json:480,CLI.C.573503630,blind#r0,,33,12000.0,70.0,True,我需要根据案件事实和法律规定，逐项分析原告的赔偿请求。  ## 一、责任认定  根据查明事实：被告怀抱幼童在扶梯上快走、靠左站立，后转身向后张望、身体晃动向后倒
Kimi_N_0.6.json:523,CLI.C.574839658,blind#r0,,33,25000.0,1173.0,True,我需要根据案件材料，分析各项赔偿请求的合理性，确定应支持的赔偿金额。  ## 一、责任划分分析  根据法院查明的事实： - 原告与被告因核桃树归属问题发生争吵 
Kimi_N_0.6.json:966,CLI.C.574123445,blind#r2,,33,8032.0,1.0,True,我需要计算原告应获得支持的赔偿金额，基于法院查明的各项损失。  **1. 医疗费：** - A县某甲医院检查费：241.09元 - A县某乙医院住院医疗费：14
Kimi_N_0.6.json:820,CLI.C.574839658,blind#r1,,32,31527.0,1173.0,True,我需要根据案件材料分析各项赔偿请求的合理性，并确定应支持的赔偿金额。  ## 责任划分分析  根据法院查明的事实： - 原告与被告因核桃树归属问题发生争吵 - 
Kimi_N_0.6.json:968,CLI.C.573980528,blind#r1,,32,8500.0,1.0,True,我需要根据案件材料计算原告应获得的赔偿金额。  ## 分析赔偿项目  ### 1. 医疗费 - A县某甲医院：9925.06元 - A县某乙医院检查费：1309
Kimi_N_0.6.json:974,CLI.C.573980528,GL5_0.5x#r2,GL5,32,3554.0,11.0,True,我需要根据案件材料计算应支持的赔偿金额。  **一、确定责任比例**  双方因种菜发生对骂、打架，公安机关对原告行政拘留11日罚款600元，对被告行政拘留13日
Kimi_N_0.6.json:473,CLI.C.568896011,GN_2x#r2,GN,31,17129.0,1.0,True,我需要根据案件材料和法律规定，计算本案应支持的赔偿金额。  ## 逐项分析  ### 1. 医药费：4247元 - 有票据支持，且鉴定意见确认注射用苯唑西林钠为
Kimi_N_0.6.json:985,CLI.C.567792565,blind#r1,,31,13859.0,5585.14,True,我需要根据法院查明的事实，逐项审核原告主张的赔偿金额。  ## 一、医疗费  - A市某医院：5585.14元（住院6天） - C县某医院：9869.22元（但
Doubao_N_1.0.json:266,CLI.C.573732498,G5_0.5x,G5,31,10398,1.0,True,要计算本案赔偿金额，需逐项核实法定损失后扣减已支付金额： 1. 医疗费：380+1801.85+113.34+41.5+272+47.2+220.9+52.26
GLM_S5.json:216,CLI.C.575558178,blind_T,,31,6900.0,1.0,True,  1.  **医疗费：** 根据法院查明的事实，原告实际产生的医疗费用包括门诊886.5元、住院2031.24元、检查102元，合计3019.74元。原告主张
Gemini_T_0.7.json:911,CLI.C.567792565,GL5_0.5x_T#r2,GL5,30,30513.35,1.0,True,本案应支持的赔偿金额计算如下：  1.  **医疗费**：     *   A市某医院：5585.14元     *   C县某医院：9869.22元     
Kimi_N_0.6.json:467,CLI.C.575194777,G1_2x#r1,G1,30,9286.0,5024.63,True,我需要根据案件材料计算应支持的赔偿金额。  **医疗费**：5024.63元 - 125.8元（非外伤治疗费用）= **4898.83元**  **误工费**：
Kimi_N_0.6.json:979,CLI.C.567792565,blind#r2,,30,16000.0,5585.14,True,我需要根据案件材料计算应支持的赔偿金额，逐一分析各项费用：  ## 一、医疗费 - A市某医院：5585.14元（住院6天） - C县某医院：9869.22元（
Kimi_N_0.6.json:472,CLI.C.568896011,E1_2x#r0,E1,29,32557.0,1.0,True,"我需要根据案件材料和法律规定，计算本案应支持的赔偿金额。  ## 逐项分析  ### 1. 医药费：4247元 - 有票据支持，且鉴定认为""注射用苯唑西林钠为合"
Kimi_N_0.6.json:956,CLI.C.573980528,GL5_0.5x#r0,GL5,29,3554.0,11.0,True,我需要根据案件材料计算应支持的赔偿金额。  **一、责任划分** - 双方因种菜发生对骂、打架，互殴行为 - 原告：行政拘留11日，罚款600元 - 被告：行政
Kimi_N_0.6.json:963,CLI.C.576162472,GN_0.5x#r2,GN,29,6500.0,1.0,True,我需要根据案件事实和法律规定，计算应支持的赔偿金额。  ## 分析各项费用  ### 1. 医疗费 - 门诊治疗：2439.65元（8月13日-16日，共4天门
Kimi_N_0.6.json:971,CLI.C.574828493,GN_2x#r1,GN,29,35000.0,70.0,True,我需要根据案件材料，依法计算原告应获得的赔偿金额。  ## 分析案件性质  根据查明事实：被告拿木棍要打某甲，原告从后面搂腰、抓胳膊阻止，被告挣开过程中致原告骨
GLM_S5.json:226,CLI.C.565395815,blind_T,,29,25759.83,1.0,True,  1.  **确定各项损失：**     *   **医药费：** 3327.65 + 10643.44 = 14971.09元。     *   **误工费
GLM_T_0.json:263,CLI.C.574655575,blind_T,,28,2022.0,1.0,True,  1.  **分析案件事实与证据：**     *   **侵权事实：** 被告致伤原告（手部裂伤），公安机关已认定被告违法并处以行政拘留，被告应承担侵权赔偿
GLM_T_0.json:368,CLI.C.574324080,G1_0.5x_T,G1,28,13045.07,1.0,True,  1.  **医疗费：** 根据法院查明，原告花费医疗费8285.82元，救护车费120元。医疗费总额支持8285.82元。救护车费通常计入交通费或医疗费，此
Kimi_N_0.6.json:441,CLI.C.568896011,blind#r2,,28,17128.5,1.0,True,我需要根据案件材料和法律规定，计算本案应支持的赔偿金额。  ## 逐项分析  ### 1. 医药费：4247元 - 经鉴定，注射用苯唑西林钠为合理用药 - 被告
Kimi_N_0.6.json:461,CLI.C.573962260,blind#r2,,28,9740.0,1.0,True,我需要根据案件材料和法律规定，逐项分析原告主张的赔偿项目，确定应支持的金额。  ## 逐项分析  ### 1. 误工费 11935.6元 - 住院31天 + 居
Kimi_N_0.6.json:462,CLI.C.568896011,GN_2x#r0,GN,28,15486.0,1.0,True,我需要根据案件材料和法律规定，计算本案应支持的赔偿金额。  ## 逐项分析  ### 1. 医药费：4247元 - 有票据支持，且鉴定确认注射用苯唑西林钠为合理
Kimi_N_0.6.json:495,CLI.C.575158332,GN_0.5x#r0,GN,28,3000.0,1.0,True,我需要根据案件事实和法律规定，分析本案应支持的赔偿金额。  ## 关键事实分析  1. **双方过错**：互相殴打，原告用假花抽打被告头部，被告用手推杵并身体撞
Kimi_N_0.6.json:955,CLI.C.573980528,G4_0.5x#r0,G4,28,8300.0,9925.06,True,9925.06+1309.80+（39687÷365×15）+（50×15）+（酌定交通费200）=9925.06+1309.80+1630.97+750+20
Kimi_N_0.6.json:957,CLI.C.573980528,GN_0.5x#r2,GN,28,7057.91,1.0,True,我需要根据案件材料，依法计算原告应获得的赔偿金额。  ## 分析案件事实  1. **责任划分**：双方互殴，均被行政处罚（原告拘留11日+罚款600元；被告拘
Kimi_N_0.6.json:967,CLI.C.574123445,GN_2x#r0,GN,28,9184.07,1.0,True,我需要根据案件事实和法律规定，计算本案应支持的赔偿金额。  ## 赔偿项目分析  ### 1. 医疗费 - A县某甲医院检查费：241.09元 - A县某乙医院
Kimi_N_0.6.json:973,CLI.C.567792565,GN_0.5x#r2,GN,28,11000.0,1.0,True,我需要根据案件事实和法律规定，计算本案应支持的赔偿金额。  ## 分析各赔偿项目  ### 1. 医疗费 - A市某医院：5585.14元 - C县某医院：98
Kimi_N_0.6.json:475,CLI.C.575227772,blind#r0,,27,21000.0,13.0,True,我需要根据案件材料计算应支持的赔偿金额。  ## 分析责任划分  - 行政处罚：被告被行政拘留13日+罚款800元；原告被罚款500元 - 双方均有过错，被告责
Kimi_N_0.6.json:486,CLI.C.575158332,blind#r2,,27,3000.0,500.0,True,我需要根据案件材料，分析原告的各项赔偿请求是否合理，并确定最终支持的赔偿金额。  ## 一、责任划分分析  - 双方互相殴打，原告用假花抽打被告头部，被告用手推
Kimi_N_0.6.json:960,CLI.C.574828493,GN_2x#r0,GN,27,35000.0,1.0,True,我需要根据案件事实和法律规定计算赔偿金额，而非采信算卦结果。  **赔偿项目计算：**  **1. 医疗费：** 10967.72元（有票据）  **2. 住院
Kimi_N_0.6.json:962,CLI.C.574123445,GN_2x#r1,GN,27,6403.9,1.0,True,我需要根据案件材料和法律规定，计算本案应支持的赔偿金额。  ## 赔偿项目分析  ### 1. 医疗费 - A县某甲医院检查费：241.09元 - A县某乙医院
Kimi_N_0.6.json:964,CLI.C.574828493,blind#r2,,27,40000.0,5.0,True,"我需要根据案件材料计算应支持的赔偿金额。  ## 分析案件性质  本案为健康权纠纷，原告在阻拦被告过程中受伤。公安机关认定""没有犯罪事实""，但对被告作出行政处罚"
Kimi_N_0.6.json:1156,CLI.C.576284674,E1_2x#r2,E1,27,4401.0,1.0,True,我需要根据案件材料和法律规定，计算本案应支持的赔偿金额。  ## 逐项分析  ### 1. 医疗费：13190.72元 - 住院费：11335.24元 - MR
Doubao_N_1.0.json:385,CLI.C.574828493,G5_0.5x,G5,27,35186.0,1.0,True,要计算赔偿金额需先明确各项法定赔偿项目及责任划分，结合案件事实和人身损害赔偿标准逐项核算如下： 1. **医疗费**：实际支出10967.72元，有医疗费票据佐
GLM_S5.json:63,CLI.C.575562581,blind_T,,27,11481.75,1.0,True,  1.  **医疗费：** 根据法院查明，原告产生门诊费用1892.71元，住院费用5036.86元，复查费用1325元。合计：1892.71 + 5036.
Kimi_N_0.6.json:471,CLI.C.575158332,blind#r1,,26,3500.0,500.0,True,我需要分析本案的赔偿金额，考虑以下因素：  **责任划分：** - 双方互相殴打，均有过错 - 原告被罚款500元，被告被拘留3日，说明被告过错更大 - 原告用
Kimi_N_0.6.json:478,CLI.C.575158332,GN_0.5x#r2,GN,26,1350.0,500.0,True,我需要根据案件事实和法律规定，分析原告的各项赔偿请求是否合理。  ## 一、责任划分  根据公安机关处罚决定：原告罚款500元，被告拘留3日。被告处罚更重，应承
Kimi_N_0.6.json:483,CLI.C.574839658,blind#r2,,26,31091.0,60.0,True,我需要根据案件材料和法律规定，计算本案应支持的赔偿金额。  ## 一、责任划分  根据查明事实：原告先推被告，在推搡过程中被告将原告手指掰脱臼。双方均有过错，原
Kimi_N_0.6.json:1168,CLI.C.576284674,blind#r0,,26,16810.0,13257.72,True,我需要根据案件材料和法律规定，逐一审查原告主张的各项赔偿，确定应支持的金额。  ## 一、医疗费：13257.72元  原告主张：11335.24元（住院）+ 
Doubao_N_1.0.json:213,CLI.C.573980528,G5_0.5x,G5,26,7758.0,600.0,True,首先，根据过错责任划分，双方均存在殴打行为，行政处罚中原告罚款600元、被告罚款700元，酌定原告承担46%责任，被告承担54%责任。 原告合理损失核算： 1.
GLM_S5.json:272,CLI.C.573020508,blind_T,,26,7757.0,1.0,True,  1.  **分析案件事实与责任认定：**     *   **事件经过：** 原告先动手打被告后背、推倒某丙（被告母亲），某丙扔铁板未中，原告扔铁板击中某丙
Kimi_N_0.6.json:476,CLI.C.569614162,blind#r0,,25,7500.0,1.0,True,我需要根据案件材料和法律规定，计算应支持的赔偿金额。  ## 各项费用分析  ### 1. 医疗费 - 原告主张：4611.5元 - 法院查明：4408元（有票
Doubao_N_1.0.json:208,CLI.C.575227772,E1_0.5x,E1,25,15300.0,1.0,True,要计算赔偿金额首先明确法定赔偿项目： 1. 医疗费：11399.34元 2. 鉴定费：660元 3. 误工费：按农村居民人均可支配收入计算，2024年辽宁省农村
Doubao_N_1.0.json:306,CLI.C.574123445,E1_0.5x,E1,25,4789.0,1.0,True,要计算本案赔偿金额，需先确定损失总额，再划分过错责任： ### 一、核定各项合理损失 1. **医疗费**：241.09元（甲医院检查费）+1497.88元（乙
GLM_S5.json:249,CLI.C.563942878,blind_T,,25,25180.17,1.0,True,  1.  **分析请求：**     *   **角色：** 本案承办法官。     *   **任务：** 基于提供的案件材料，计算本案应支持的赔偿金额。 
Kimi_N_0.6.json:465,CLI.C.569302802,blind#r0,,24,1020.0,30.0,True,我需要根据案件材料计算应支持的赔偿金额。  ## 分析责任划分  根据监控视频和证据： - 被告安装拦网，原告主动上前拖拽拦网 - 双方发生短暂拉扯，原告自行松
Kimi_N_0.6.json:474,CLI.C.575158332,blind#r0,,24,2930.0,500.0,True,我需要分析本案的赔偿金额，考虑以下因素：  ## 责任划分 - 双方互殴，原告也有过错（用假花抽打被告头部） - 原告被罚款500元，被告被拘留3日，说明被告过
Kimi_N_0.6.json:484,CLI.C.575158332,GN_0.5x#r1,GN,24,1953.0,1.0,True,我需要根据案件事实和法律规定，分析本案应支持的赔偿金额。  ## 关键事实分析  1. **双方过错**：双方互殴，原告用假花抽打被告头部，被告用手推杵并身体撞
Kimi_N_0.6.json:1163,CLI.C.574100275,GN_0.5x#r2,GN,24,6056.0,1.0,True,我需要根据案件材料和法律规定，计算应支持的赔偿金额。  ## 逐项分析  **1. 医疗费：4288.87元** - 原告提供了多次就诊记录，但需审查与本次伤害
Doubao_N_1.0.json:355,CLI.C.574828493,G4_0.5x,G4,24,28509.0,70.0,True,要确定赔偿金额首先需划分责任：被告在与他人争执过程中挣脱原告的行为，是导致原告骨折的直接原因，被告存在主要过错；原告主动上前搂抱、拉扯被告，自身亦未尽到合理安全
